Unnamed: 0,Dish_liked
477,Panneer Butter Masala
477,Paratha
477,Thali
478,Mughlai Paratha
478,Laccha Paratha
478,Rolls
479,Not Provided
480,Panneer Butter Masala
480,Vada
480,Curd Rice
480,Idli
480,Jeera Rice
480,Naan
480,Kulcha
481,Biryani
481,Chilli Chicken
481,Neer Dosa
482,Sandwiches
482,Pasta
482,Cobb Salad
482,Pizza
482,Burgers
482,Calzone
482,Fries
483,Biryani
484,Masala Dosa
484,Filter Coffee
484,Maddur Vada
484,Curd Vadai
484,Onion Dosa
484,Upma
484,Sunday Breakfast
485,Not Provided
486,Not Provided
487,Spring Dosa
487,Coffee
487,Spring Roll
487,Masala Papad
487,Rava Idli
487,Panneer Butter Masala
487,Chaat
488,Not Provided
489,Coffee
489,Spring Roll
489,Roti
489,Panneer Butter Masala
489,Noodles
489,Butter Naan
489,Masala Dosa
490,Coffee
490,Spaghetti
490,Pancakes
490,Nachos
490,Pasta
490,Sandwich
490,Garlic Bread
491,Not Provided
492,Not Provided
493,Masala Chaach
493,Tomato Shorba
493,Gajar Ka Halwa
493,Biryani
493,Deluxe Punjabi Thali
493,Rajma
493,Paneer Tikka Masala
494,Hot Chocolate Fudge
494,Vanilla Ice Cream
494,Fudge Cake
494,Chocolate Mousse
495,Dhokla
495,Jalebi
495,Badam Milk
495,Rabri
495,Rasgulla
495,Rasmalai
495,Samosa Kachori
496,Not Provided
497,Friendly Staff
498,Not Provided
499,Not Provided
500,Not Provided
501,Not Provided
502,Sandwiches
502,Hot Chocolate Fudge
502,Strawberry Milkshake
503,Churros
503,Cannelloni
503,Minestrone Soup
503,Hot Chocolate
503,Pink Sauce Pasta
503,Salsa
503,Veg Supreme Pizza
504,Not Provided
505,Not Provided
506,Pasta
506,Gelato
506,Garlic Bread
506,Mojito
506,Nachos
506,Paneer Pizza
506,Mocktails
507,Not Provided
508,Nachos
508,Cup Cake
508,Hot Chocolate Fudge
508,Salsa
